ID_Vereador;ID;Texto;Data;App
127;51;Votou contra para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
42;52;Votou contra para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
19;53;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
23;54;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
48;55;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
51;56;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
34;57;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
40;58;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
21;59;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
119;60;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
133;61;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
5;62;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
1;63;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
45;64;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
20;65;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
50;66;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
8;67;Votou a favor para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
44;68;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
35;69;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
29;70;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
41;71;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
121;72;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
53;73;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
12;74;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
132;75;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
22;76;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
16;77;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
131;78;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
38;79;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
118;80;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
3;81;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
13;82;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
6;83;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
117;84;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
114;85;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
15;86;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
4;87;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
11;88;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
26;89;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
113;90;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
25;91;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
112;92;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
10;93;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
122;94;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
9;95;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
27;96;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
116;97;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
37;98;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
32;99;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
128;100;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
39;101;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
49;102;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
46;103;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
115;104;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
43;105;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
127;106;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
42;107;Votou a favor para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
19;108;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
23;109;Votou contra para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
48;110;Não votou para a matéria de Suspenção da Sessão por 3h e como resultado da votação foi REPROVADA.;11/04/2012;1
51;111;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
34;112;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
40;113;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
21;114;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
119;115;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
133;116;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
5;117;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
1;118;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
45;119;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
20;120;Votou a favor para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
50;121;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
8;122;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
44;123;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
35;124;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
29;125;Votou a favor para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
41;126;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
121;127;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
53;128;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
12;129;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
132;130;Votou a favor para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
22;131;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
16;132;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
131;133;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
38;134;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
118;135;Absteve o voto para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
3;136;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
13;137;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
6;138;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
117;139;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
114;140;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
15;141;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
4;142;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
11;143;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
26;144;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
113;145;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
25;146;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
112;147;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
10;148;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
122;149;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
9;150;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
27;151;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
116;152;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
37;153;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
32;154;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
128;155;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
39;156;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
49;157;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
46;158;Votou a favor para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
115;159;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
43;160;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
127;161;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
42;162;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
19;163;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
23;164;Votou contra para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
48;165;Não votou para a matéria de Adiamento do Pequeno e Grande expediente e como resultado da votação foi REPROVADA.;11/04/2012;1
51;166;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
34;167;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
40;168;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
