ID_Vereador;id;Texto;Data;Tipo_Ação
10;3673;Votou a favor para a matéria de Manutenção da ordem cronológica da pauta e como resultado da votação foi REPROVADA.;23/05/2012;1
10;3674;Não votou para a matéria de Adiamento dos demais itens da pauta e como resultado da votação foi REPROVADA.;24/05/2012;1
10;3675;Não votou para a matéria de Encerramento da presente sessão e como resultado da votação foi REPROVADA.;30/05/2012;1
10;3676;"Votou a favor para a matéria de PL 455 /2011 , do Vereador RICARDO TEIXEIRA (PV) para a ementa que: ''Denomina Viaduto Evaristo Comolatti, o Viaduto inominado, mais conhecido como Viaduto sobre o Rio Tamanduateí, que interliga o Viaduto do Glicério e a Av. Alcântara Machado, e dá outras providências.

FASE DA DISCUSSÃO: 1ª

APROVAÇÃO MEDIANTE VOTO FAVORÁVEL DA MAIORIA SIMPLES.

HÁ SUBSTITUTIVO DA COMISSÃO DE CONSTITUIÇÃO, JUSTIÇA E LEG. PARTICIPATIVA''. E como resultado da votação foi APROVADA.";30/05/2012;1
10;3677;"Votou a favor para a matéria de PDL 8/2012, diversos veradores para a ementa que: ''Dispõe sobre a concessão da honraria Medalha Anchieta e o Diploma de Gratidão da cidade de São Paulo ao Fernando Haddad e dá outras providências.

DISCUSSÃO E VOTAÇÃO ÚNICAS

APROVAÇÃO MEDIANTE VOTO FAVORÁVEL DE 2/3 DOS MEMBROS DA CÂMARA.''. E como resultado ficou PENDENTE DE VOTAÇÃO.";30/05/2012;1
10;3678;Não votou para a matéria de Encerramento da Presente Sessão e como resultado da votação foi REPROVADA.;05/06/2012;1
10;3679;Não votou para a matéria de Encerramento da Presente Sessão e como resultado da votação foi REPROVADA.;06/06/2012;1
10;3680;Não votou para a matéria de SOLICITAÇÃO DE INSTALAÇÃO DA 4ª CPI e como resultado da votação foi REPROVADA.;12/06/2012;1
10;3681;Votou contra para a matéria de Suspenção por 2h da presente sessão e como resultado da votação foi REPROVADA.;12/06/2012;1
10;3682;Não votou para a matéria de Inversão da pauta item 147 para 1 PL133/2010 G Barreto e como resultado da votação foi REPROVADA.;12/06/2012;1
10;3683;"Votou a favor para a matéria de PL 509 /2011, DO EXECUTIVO para a ementa que: ''Institui o Plano Municipal de Habitação Social da Cidade de São Paulo, para o período de 2009 a 2024, na conformidade do contido nos Capítulos 1 a 7 e nos Anexos 1 a 6, partes integrantes desta lei.

FASE DA DISCUSSÃO: 1ª

APROVAÇÃO MEDIANTE VOTO NOMINAL FAVORÁVEL DE 2/3 DOS MEMBROS DA CÂMARA.''. E como resultado da votação foi APROVADA.";20/06/2012;1
10;3684;"Votou a favor para a matéria de PL 573 /2011, DO EXECUTIVO para a ementa que: ''Dispõe sobre a criação da Secretaria Especial de Articulação para a Copa do Mundo de Futebol de 2014, cria e extingue cargos de provimento em comissão, bem como altera o provimento, a denominação e a lotação dos cargos que especifica.

FASE DA DISCUSSÃO: 1ª

APROVAÇÃO MEDIANTE VOTO FAVORÁVEL DA MAIORIA ABSOLUTA DOS MEMBROS DA CÂMARA.

HÁ SUBSTITUTIVO DA COMISSÃO DE CONSTITUIÇÃO, JUSTIÇA E LEG. PARTICIPATIVA''. E como resultado da votação foi APROVADA.";20/06/2012;1
10;3685;Votou a favor para a matéria de Inversão  da pauta itens 15, 16 e 17 para o próximos itens e como resultado da votação foi REPROVADA.;26/06/2012;1
10;3686;Votou a favor para a matéria de Item 86 para o inicio da pauta e como resultado da votação foi REPROVADA.;27/06/2012;1
10;3687;Votou a favor para a matéria de Inversão do item 155 para próximo item e como resultado da votação foi REPROVADA.;27/06/2012;1
10;3688;Votou contra para a matéria de Encerramento da presente sessão e como resultado da votação foi REPROVADA.;28/06/2012;1
10;3689;"Votou a favor para a matéria de PL 509 /2011, DO EXECUTIVO para a ementa que: ''Institui o Plano Municipal de Habitação Social da Cidade de São Paulo, para o período de 2009 a 2024, na conformidade do contido nos Capítulos 1 a 7 e nos Anexos 1 a 6, partes integrantes desta lei.

FASE DA DISCUSSÃO: 1ª

APROVAÇÃO MEDIANTE VOTO NOMINAL FAVORÁVEL DE 2/3 DOS MEMBROS DA CÂMARA.''. E como resultado da votação foi APROVADA.";20/06/2012;1
10;3690;"Votou a favor para a matéria de PL 573 /2011, DO EXECUTIVO para a ementa que: ''Dispõe sobre a criação da Secretaria Especial de Articulação para a Copa do Mundo de Futebol de 2014, cria e extingue cargos de provimento em comissão, bem como altera o provimento, a denominação e a lotação dos cargos que especifica.

FASE DA DISCUSSÃO: 1ª

APROVAÇÃO MEDIANTE VOTO FAVORÁVEL DA MAIORIA ABSOLUTA DOS MEMBROS DA CÂMARA.

HÁ SUBSTITUTIVO DA COMISSÃO DE CONSTITUIÇÃO, JUSTIÇA E LEG. PARTICIPATIVA''. E como resultado da votação foi APROVADA.";20/06/2012;1
10;3691;Não votou para a matéria de Encerramento da presente sessão e como resultado da votação foi REPROVADA.;23/05/2012;1
10;3692;Votou a favor para a matéria de Inversão do item 92 para item 1 e como resultado da votação foi REPROVADA.;23/05/2012;1
10;3693;Votou a favor para a matéria de Manutenção da ordem cronológica da pauta e como resultado da votação foi REPROVADA.;23/05/2012;1
10;3694;Não votou para a matéria de Adiamento dos demais itens da pauta e como resultado da votação foi REPROVADA.;24/05/2012;1
10;3695;Votou a favor para a matéria de Inversão  da pauta itens 15, 16 e 17 para o próximos itens e como resultado da votação foi REPROVADA.;26/06/2012;1
10;3696;Votou a favor para a matéria de Item 86 para o inicio da pauta e como resultado da votação foi REPROVADA.;27/06/2012;1
10;3697;Votou a favor para a matéria de Inversão do item 155 para próximo item e como resultado da votação foi REPROVADA.;27/06/2012;1
11;3698;Votou a favor para a matéria de Encerramento da presente sessão e como resultado da votação foi REPROVADA.;23/05/2012;1
11;3699;Votou a favor para a matéria de Inversão do item 92 para item 1 e como resultado da votação foi REPROVADA.;23/05/2012;1
11;3700;Votou a favor para a matéria de Manutenção da ordem cronológica da pauta e como resultado da votação foi REPROVADA.;23/05/2012;1
11;3701;Votou a favor para a matéria de Adiamento dos demais itens da pauta e como resultado da votação foi REPROVADA.;24/05/2012;1
11;3702;Votou a favor para a matéria de Encerramento da presente sessão e como resultado da votação foi REPROVADA.;30/05/2012;1
11;3703;"Votou a favor para a matéria de PL 455 /2011 , do Vereador RICARDO TEIXEIRA (PV) para a ementa que: ''Denomina Viaduto Evaristo Comolatti, o Viaduto inominado, mais conhecido como Viaduto sobre o Rio Tamanduateí, que interliga o Viaduto do Glicério e a Av. Alcântara Machado, e dá outras providências.

FASE DA DISCUSSÃO: 1ª

APROVAÇÃO MEDIANTE VOTO FAVORÁVEL DA MAIORIA SIMPLES.

HÁ SUBSTITUTIVO DA COMISSÃO DE CONSTITUIÇÃO, JUSTIÇA E LEG. PARTICIPATIVA''. E como resultado da votação foi APROVADA.";30/05/2012;1
11;3704;"Votou a favor para a matéria de PDL 8/2012, diversos veradores para a ementa que: ''Dispõe sobre a concessão da honraria Medalha Anchieta e o Diploma de Gratidão da cidade de São Paulo ao Fernando Haddad e dá outras providências.

DISCUSSÃO E VOTAÇÃO ÚNICAS

APROVAÇÃO MEDIANTE VOTO FAVORÁVEL DE 2/3 DOS MEMBROS DA CÂMARA.''. E como resultado ficou PENDENTE DE VOTAÇÃO.";30/05/2012;1
11;3705;Não votou para a matéria de Encerramento da Presente Sessão e como resultado da votação foi REPROVADA.;05/06/2012;1
11;3706;Votou a favor para a matéria de Encerramento da Presente Sessão e como resultado da votação foi REPROVADA.;06/06/2012;1
11;3707;Não tem votação definida para a matéria de SOLICITAÇÃO DE INSTALAÇÃO DA 4ª CPI e como resultado da votação foi REPROVADA.;12/06/2012;1
11;3708;Votou contra para a matéria de Suspenção por 2h da presente sessão e como resultado da votação foi REPROVADA.;12/06/2012;1
11;3709;Votou contra para a matéria de Inversão da pauta item 147 para 1 PL133/2010 G Barreto e como resultado da votação foi REPROVADA.;12/06/2012;1
11;3710;"Votou a favor para a matéria de PL 509 /2011, DO EXECUTIVO para a ementa que: ''Institui o Plano Municipal de Habitação Social da Cidade de São Paulo, para o período de 2009 a 2024, na conformidade do contido nos Capítulos 1 a 7 e nos Anexos 1 a 6, partes integrantes desta lei.

FASE DA DISCUSSÃO: 1ª

APROVAÇÃO MEDIANTE VOTO NOMINAL FAVORÁVEL DE 2/3 DOS MEMBROS DA CÂMARA.''. E como resultado da votação foi APROVADA.";20/06/2012;1
11;3711;"Não votou para a matéria de PL 573 /2011, DO EXECUTIVO para a ementa que: ''Dispõe sobre a criação da Secretaria Especial de Articulação para a Copa do Mundo de Futebol de 2014, cria e extingue cargos de provimento em comissão, bem como altera o provimento, a denominação e a lotação dos cargos que especifica.

FASE DA DISCUSSÃO: 1ª

APROVAÇÃO MEDIANTE VOTO FAVORÁVEL DA MAIORIA ABSOLUTA DOS MEMBROS DA CÂMARA.

HÁ SUBSTITUTIVO DA COMISSÃO DE CONSTITUIÇÃO, JUSTIÇA E LEG. PARTICIPATIVA''. E como resultado da votação foi APROVADA.";20/06/2012;1
11;3712;Votou a favor para a matéria de Inversão  da pauta itens 15, 16 e 17 para o próximos itens e como resultado da votação foi REPROVADA.;26/06/2012;1
11;3713;Não tem votação definida para a matéria de Item 86 para o inicio da pauta e como resultado da votação foi REPROVADA.;27/06/2012;1
11;3714;Votou a favor para a matéria de Inversão do item 155 para próximo item e como resultado da votação foi REPROVADA.;27/06/2012;1
11;3715;Votou contra para a matéria de Encerramento da presente sessão e como resultado da votação foi REPROVADA.;28/06/2012;1
11;3716;"Votou a favor para a matéria de PL 509 /2011, DO EXECUTIVO para a ementa que: ''Institui o Plano Municipal de Habitação Social da Cidade de São Paulo, para o período de 2009 a 2024, na conformidade do contido nos Capítulos 1 a 7 e nos Anexos 1 a 6, partes integrantes desta lei.

FASE DA DISCUSSÃO: 1ª

APROVAÇÃO MEDIANTE VOTO NOMINAL FAVORÁVEL DE 2/3 DOS MEMBROS DA CÂMARA.''. E como resultado da votação foi APROVADA.";20/06/2012;1
11;3717;"Não votou para a matéria de PL 573 /2011, DO EXECUTIVO para a ementa que: ''Dispõe sobre a criação da Secretaria Especial de Articulação para a Copa do Mundo de Futebol de 2014, cria e extingue cargos de provimento em comissão, bem como altera o provimento, a denominação e a lotação dos cargos que especifica.

FASE DA DISCUSSÃO: 1ª

APROVAÇÃO MEDIANTE VOTO FAVORÁVEL DA MAIORIA ABSOLUTA DOS MEMBROS DA CÂMARA.

HÁ SUBSTITUTIVO DA COMISSÃO DE CONSTITUIÇÃO, JUSTIÇA E LEG. PARTICIPATIVA''. E como resultado da votação foi APROVADA.";20/06/2012;1
11;3718;Votou a favor para a matéria de Encerramento da presente sessão e como resultado da votação foi REPROVADA.;23/05/2012;1
11;3719;Votou a favor para a matéria de Inversão do item 92 para item 1 e como resultado da votação foi REPROVADA.;23/05/2012;1
11;3720;Votou a favor para a matéria de Manutenção da ordem cronológica da pauta e como resultado da votação foi REPROVADA.;23/05/2012;1
11;3721;Votou a favor para a matéria de Adiamento dos demais itens da pauta e como resultado da votação foi REPROVADA.;24/05/2012;1
11;3722;Votou a favor para a matéria de Inversão  da pauta itens 15, 16 e 17 para o próximos itens e como resultado da votação foi REPROVADA.;26/06/2012;1
11;3723;Não tem votação definida para a matéria de Item 86 para o inicio da pauta e como resultado da votação foi REPROVADA.;27/06/2012;1
11;3724;Votou a favor para a matéria de Inversão do item 155 para próximo item e como resultado da votação foi REPROVADA.;27/06/2012;1
112;3725;Não votou para a matéria de Encerramento da presente sessão e como resultado da votação foi REPROVADA.;23/05/2012;1
112;3726;Votou a favor para a matéria de Inversão do item 92 para item 1 e como resultado da votação foi REPROVADA.;23/05/2012;1
112;3727;Votou a favor para a matéria de Manutenção da ordem cronológica da pauta e como resultado da votação foi REPROVADA.;23/05/2012;1
112;3728;Não votou para a matéria de Adiamento dos demais itens da pauta e como resultado da votação foi REPROVADA.;24/05/2012;1
112;3729;Não votou para a matéria de Encerramento da presente sessão e como resultado da votação foi REPROVADA.;30/05/2012;1
